PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS,LATITUDE,LONGITUDE
Single Family Residential,125 Brook Ave,Boston,MA,2125,699999,5,3,Boston,2350,4094,1900,6,298,,http://www.redfin.com/MA/Boston/125-Brook-Ave-02125/home/9064728,72896088,42.3203415,-71.0726423
Condo/Co-op,15 Harvest St #3,Boston,MA,2125,529999,2,1,Boston,874,874,1896,6,606,125,http://www.redfin.com/MA/Dorchester/15-Harvest-St-02125/unit-3/home/28646735,72896029,42.3229195,-71.0575071
Multi-Family (2-4 Unit),30-32 Westmore Rd,Boston,MA,2126,579900,6,2,Boston,2471,4052,1925,7,235,,http://www.redfin.com/MA/Boston/30-Westmore-Rd-02126/home/9159238,72895108,42.2843671,-71.0963474
Condo/Co-op,15a Goodway #1,Boston,MA,2130,645000,2,2,Jamaica Plain,1154,,1920,7,559,208,http://www.redfin.com/MA/Boston/15-15A-Goodway-Rd-02130/unit-1/home/9152742,72895042,42.28958419,-71.11543404
Condo/Co-op,121 Salem St Unit 2C,Boston,MA,2113,475000,1,1,Boston,460,460,1920,13,1033,198,http://www.redfin.com/MA/Boston/121-Salem-St-02113/unit-2C/home/9278424,72892398,42.3645604,-71.0553766
Condo/Co-op,60 Bryon Rd #1,Boston,MA,2467,339999,2,1,Chestnut Hill,786,786,1950,13,433,298,http://www.redfin.com/MA/Chestnut-Hill/60-Bryon-Rd-02467/unit-1/home/9204335,72892351,42.3014659,-71.1674548
Condo/Co-op,7 Fairbanks St #2,Boston,MA,2135,424999,2,1,Boston,970,970,1910,22,438,250,http://www.redfin.com/MA/Brighton/7-Fairbanks-St-02135/unit-2/home/9328874,72888234,42.3493675,-71.1628381
Single Family Residential,21 Pierpont Rd,Boston,MA,2132,1199000,3,2.5,West Roxbury,2331,7500,1920,35,514,,http://www.redfin.com/MA/West-Roxbury/21-Pierpont-Rd-02132/home/9203144,72883061,42.2911207,-71.1491452
Condo/Co-op,501 E 5Th St #3,Boston,MA,2127,824999,2,1,Boston,1115,1115,1890,42,740,158,http://www.redfin.com/MA/Boston/501-E-5th-St-02127/unit-3/home/9309350,72879564,42.3337586,-71.0407723
Condo/Co-op,180 COMMONWEALTH Ave #7,Boston,MA,2116,1275000,3,2,Back Bay,1070,1070,1925,51,1192,640,http://www.redfin.com/MA/Boston/180-Commonwealth-Ave-02116/unit-7/home/9265011,72874825,42.3510958,-71.0795365
Single Family Residential,5023 Washington St,Boston,MA,2132,625000,4,2,Boston,1134,4052,1950,56,551,,http://www.redfin.com/MA/West-Roxbury/5023-Washington-St-02132/home/9218792,72872636,42.2660368,-71.1523016
Multi-Family (2-4 Unit),90 Milton Ave,Boston,MA,2124,744000,6,3,Boston,2857,3380,1920,57,260,,http://www.redfin.com/MA/Boston/90-Milton-Ave-02124/home/11834834,72871981,42.2827665,-71.0760778
Condo/Co-op,997-1003 Saratoga St #2,Boston,MA,2128,259000,1,1,Boston,559,559,1910,69,463,100,http://www.redfin.com/MA/Boston/997-Saratoga-St-02128/unit-2/home/21717576,72866026,42.386406,-71.0068003
Condo/Co-op,12 Stoneholm St #502,Boston,MA,2115,485000,1,1,Boston,575,458,1970,22,843,504,http://www.redfin.com/MA/Boston/12-Stoneholm-St-02115/unit-502/home/12439567,72861266,42.3457137,-71.0885115
Condo/Co-op,5 Linda Ln Unit 4-3,Boston,MA,2125,335000,1,1,Boston,675,675,1965,1,496,294,http://www.redfin.com/MA/Boston/5-Linda-Ln-02125/unit-4-3/home/9063218,72876910,42.3122334,-71.0506477
Condo/Co-op,78 Montebello Rd #2,Jamaica Plain,MA,2130,599000,2,1,,1077,,1905,,556,,http://www.redfin.com/MA/Jamaica-Plain/78-Montebello-Rd-02130/unit-2/home/11737802,,42.3119557,-71.0997078
Condo/Co-op,70 Lincoln St Unit L413,Boston,MA,2111,870000,2,2,Boston,1055,1055,2006,5,825,708,http://www.redfin.com/MA/Boston/70-Lincoln-St-02111/unit-L413/home/12440257,72841787,42.352092,-71.0579088
Condo/Co-op,293 Beacon St #8,Boston,MA,2116,675000,1,1,Boston,565,565,1899,54,1195,376,http://www.redfin.com/MA/Boston/293-Beacon-St-02116/unit-8/home/9248612,72855840,42.3529657,-71.0808132
Condo/Co-op,614 Columbus Ave #8,Boston,MA,2118,780000,2,1.5,Boston,994,1708,1890,47,785,422,http://www.redfin.com/MA/Boston/614-Columbus-Ave-02118/unit-8/home/9287648,72857762,42.3395884,-71.0828143
Condo/Co-op,43 Anderson St #2,Boston,MA,2114,705000,1,1,Boston,650,650,1900,50,1085,292,http://www.redfin.com/MA/Boston/43-Anderson-St-02114/unit-2/home/9257453,72837966,42.359617,-71.0679195
Condo/Co-op,65 E India Row Unit 15H,Boston,MA,2110,785000,1,1,Boston,883,883,1970,12,889,797,http://www.redfin.com/MA/Boston/65-E-India-Row-02110/unit-15H/home/9260812,72856748,42.3576699,-71.0504859
Condo/Co-op,238 S Huntington Ave #6,Boston,MA,2130,505000,2,1,Boston,893,893,1935,27,566,366,http://www.redfin.com/MA/Jamaica-Plain/238-S-Huntington-Ave-02130/unit-6/home/9242123,72859529,42.3249764,-71.1119638
Condo/Co-op,74 Fenway #32,Boston,MA,2115,455000,1,1,Boston,425,425,1925,2,1071,223,http://www.redfin.com/MA/Boston/74-Fenway-02115/unit-32/home/11836979,72876920,42.3427395,-71.09087
Single Family Residential,22 Nancy Rd,Dedham,MA,2026,426000,2,1,Dedham,810,8099,1950,13,526,,http://www.redfin.com/MA/Dedham/22-Nancy-Rd-02026/home/8851860,72849308,42.2546611,-71.1600067
Townhouse,21 Dorr St Unit A,Boston,MA,2119,815000,3,2.5,Boston,2089,2165,2004,68,390,250,http://www.redfin.com/MA/Boston/21-Dorr-St-02119/unit-A/home/11838229,72835116,42.3271177,-71.0917598
Condo/Co-op,77 Pearl St #1,Charlestown,MA,2129,520000,1,1,,580,,1875,,897,,http://www.redfin.com/MA/Charlestown/77-Pearl-St-02129/unit-1/home/12431272,,42.3801108,-71.0628845
Condo/Co-op,27-29 Commonwealth Ave #6,Newton,MA,2467,520000,1,1,Newton,753,14993,1927,71,691,490,http://www.redfin.com/MA/Chestnut-Hill/27-Commonwealth-Ave-02467/unit-6/home/19003435,72827543,42.3401454,-71.1678091
Single Family Residential,24 Hamilton St,Boston,MA,2136,630000,3,2,Boston,1900,9900,1910,23,332,,http://www.redfin.com/MA/Hyde-Park/24-Hamilton-St-02136/home/9134734,72866994,42.235691,-71.131251
Townhouse,60 Newton St #60,Boston,MA,2135,840000,3,2.5,Boston,1600,1600,2013,71,525,215,http://www.redfin.com/MA/Boston/60-Newton-St-02135/unit-60/home/45493841,72824450,42.3568878,-71.1654273
Single Family Residential,51 Stanbro St,Boston,MA,2136,725000,3,2.5,Boston,2226,5979,2002,27,326,,http://www.redfin.com/MA/Hyde-Park/51-Stanbro-St-02136/home/9315514,72862112,42.2344696,-71.1296495
Condo/Co-op,6 Hamilton Rd #1,Brookline,MA,2446,1025000,3,2,,1321,,1915,,776,,http://www.redfin.com/MA/Brookline/6-Hamilton-Rd-02446/unit-1/home/11448728,,42.3503687,-71.1258091
Condo/Co-op,319 Forest Hills St #2,Boston,MA,2130,675000,2,2,Boston,1070,,2016,33,631,182,http://www.redfin.com/MA/Boston/319-Forest-Hills-St-02130/unit-2/home/105490788,72846107,42.3019323,-71.1056499
Condo/Co-op,1117 River St #2,Boston,MA,2136,415000,2,1,Boston,840,840,1935,83,494,324,http://www.redfin.com/MA/Hyde-Park/1117-River-St-02136/unit-2/home/21719508,72838566,42.2577058,-71.1197156
Condo/Co-op,2 Ballard Way #1,Boston,MA,2130,607500,2,1,Boston,815,815,1880,26,745,150,http://www.redfin.com/MA/Jamaica-Plain/2-Ballard-Way-02130/unit-1/home/40352858,72865410,42.3063647,-71.1175034
Condo/Co-op,145 Bennington St #112,Revere,MA,2151,310000,1,1,Revere,605,,2006,83,512,280,http://www.redfin.com/MA/Revere/145-Bennington-St-02151/unit-112/home/18960956,72825247,42.3943026,-70.9941979
Condo/Co-op,35 Commonwealth Ave #102,Newton,MA,2467,769000,2,2,Newton,1102,48829,2007,90,698,512,http://www.redfin.com/MA/Chestnut-Hill/35-Commonwealth-Ave-02467/unit-102/home/12519698,72807055,42.3404741,-71.168274
Condo/Co-op,116 Spring St Unit A4,Boston,MA,2132,260000,1,1,Boston,800,800,1960,44,325,211,http://www.redfin.com/MA/West-Roxbury/116-Spring-St-02132/unit-A4/home/9201481,72869882,42.2765659,-71.1651356
Condo/Co-op,8 Wendeller St #2,Boston,MA,2127,665000,2,1,Boston,906,906,2009,41,734,154,http://www.redfin.com/MA/Boston/8-Wendeller-St-02127/unit-2/home/22195362,72854708,42.3288957,-71.0545542
Condo/Co-op,327 Centre St #203,Boston,MA,2130,470000,2,1,Boston,957,957,2006,61,491,353,http://www.redfin.com/MA/Jamaica-Plain/327-Centre-St-02130/unit-203/home/77507413,72817951,42.3228944,-71.1047356
Condo/Co-op,60 Lithgow #2,Boston,MA,2124,599999,3,2,Boston,1300,,1905,1,462,149,http://www.redfin.com/MA/Dorchester-Center/60-Lithgow-St-02124/unit-2/home/176497472,72898843,42.2907089,-71.0679532
Multi-Family (2-4 Unit),58 Trenton St,Boston,MA,2128,949000,7,3,Boston,2652,1575,1900,1,358,,http://www.redfin.com/MA/Boston/58-Trenton-St-02128/home/9119429,72898841,42.3787218,-71.0373614
Condo/Co-op,14 Heron St #202,Boston,MA,2132,359000,2,1,West Roxbury,872,872,1987,1,412,495,http://www.redfin.com/MA/Boston/14-Heron-St-02132/unit-202/home/9200491,72898842,42.2693211,-71.1496326
Condo/Co-op,568 E Broadway #1,Boston,MA,2127,825000,2,2,South Boston,1285,,1920,1,642,340,http://www.redfin.com/MA/Boston/568-E-Broadway-02127/unit-1/home/21659514,72898828,42.335751,-71.0414191
Multi-Family (2-4 Unit),10 Melville Ave,Boston,MA,2124,1795000,9,4,Dorchester,6058,35000,1880,1,296,,http://www.redfin.com/MA/Boston/10-Melville-Ave-02124/home/145644048,72898824,42.2941898,-71.0702745
Condo/Co-op,94 Bigelow St #2,Boston,MA,2135,599000,2,2,Brighton,1100,1100,1920,1,545,279,http://www.redfin.com/MA/Brighton/94-Bigelow-St-02135/unit-2/home/11833441,72898821,42.355286,-71.167294
Condo/Co-op,99 Sumner Unit U: 211,Boston,MA,2128,1000000,2,2,East Boston,1126,,2021,1,888,953,http://www.redfin.com/MA/Boston/99-Sumner-St-02128/unit-U-211/home/176497068,72898812,42.3699046,-71.0422875
Townhouse,37A Morton St #32,Boston,MA,2130,610000,2,1.5,Jamaica Plain,1439,,1989,1,424,511,http://www.redfin.com/MA/Boston/37-Morton-St-02130/unit-32/home/9138615,72898795,42.3004202,-71.1098786
Condo/Co-op,320 W Third St #205,Boston,MA,2127,649900,1,1,South Boston,810,,2004,1,802,452,http://www.redfin.com/MA/Boston/320-W-3rd-St-02127/unit-205/home/176496853,72898781,42.3370485,-71.0455517
Single Family Residential,52 Bellamy St,Boston,MA,2135,849900,4,2,Brighton,1518,3994,1925,1,560,,http://www.redfin.com/MA/Brighton/52-Bellamy-St-02135/home/9039679,72898780,42.3547462,-71.1713321
Single Family Residential,55 Gray St,Boston,MA,2116,2700000,3,2.5,Boston,1974,720,1865,1,1368,,http://www.redfin.com/MA/Boston/55-Gray-St-02116/home/9262639,72898778,42.3454741,-71.0722525
Condo/Co-op,20 W Fifth Ph -6B,Boston,MA,2127,899000,1,1.5,South Boston,916,,2021,1,981,561,http://www.redfin.com/MA/Boston/20-W-Fifth-St-02127/unit-6B/home/176496739,72898770,42.3401945,-71.0561375
Condo/Co-op,15 Hancock St #2,Boston,MA,2114,3699000,3,4,Beacon Hill,2636,,1808,1,1403,403,http://www.redfin.com/MA/Boston/15-Hancock-St-02114/unit-2/home/86515182,72898760,42.3606677,-71.0646685
Multi-Family (2-4 Unit),129 Putnam St,Boston,MA,2128,879900,6,4,East Boston,2123,1250,1910,1,414,,http://www.redfin.com/MA/Boston/129-Putnam-St-02128/home/9120269,72898743,42.3784634,-71.032238
Condo/Co-op,6 Alfred St #3,Boston,MA,2130,424000,2,1,Jamaica Plain,558,,1920,1,760,287,http://www.redfin.com/MA/Boston/6-Alfred-St-02130/unit-3/home/11736987,72898746,42.311912,-71.1110416
Condo/Co-op,12 Bond St #2,Boston,MA,2118,694500,1,1,South End,616,616,1890,1,1127,154,http://www.redfin.com/MA/Boston/12-Bond-St-02118/unit-2/home/12404348,72898740,42.3434955,-71.0694853
Condo/Co-op,1872 Commonwealth Ave #2,Boston,MA,2135,299000,1,1,Brighton,440,,1940,1,680,304,http://www.redfin.com/MA/Boston/1872-Commonwealth-Ave-02135/unit-2/home/9027920,72898722,42.3380493,-71.1525105
Condo/Co-op,487 Massachusetts Ave #1,Boston,MA,2118,799900,2,1,South End,1107,1107,1900,1,723,407,http://www.redfin.com/MA/Boston/487-Massachusetts-Ave-02118/unit-1/home/21718280,72898712,42.3393754,-71.0809183
Condo/Co-op,2 W 6th St #206,Boston,MA,2127,799000,2,2,South Boston,1030,,2017,1,776,451,http://www.redfin.com/MA/Boston/2-W-Sixth-St-02127/unit-206/home/167702221,72898699,42.339159,-71.0564005
Condo/Co-op,23 Upton St #2,Boston,MA,2118,2795000,3,2.5,South End,1750,,1899,1,1597,400,http://www.redfin.com/MA/Boston/23-Upton-St-02118/unit-2/home/176495758,72898691,42.3423715,-71.0719807
Townhouse,105 Beacon #1,Boston,MA,2116,449000,0,1,Back Bay,415,1200,1920,1,1082,192,http://www.redfin.com/MA/Boston/105-Beacon-St-02116/unit-1/home/12440355,72898675,42.355041,-71.072964
Single Family Residential,38 Chilton Rd,Boston,MA,2132,649000,3,1.5,West Roxbury,1178,4750,1932,1,551,,http://www.redfin.com/MA/Boston/38-Chilton-Rd-02132/home/9206830,72898669,42.2926855,-71.1609814
Condo/Co-op,266 Arborway #1,Boston,MA,2130,659000,2,1,Jamaica Plain,1064,,1924,1,619,250,http://www.redfin.com/MA/Jamaica-Plain/266-Arborway-02130/unit-1/home/9309921,72898661,42.3046576,-71.1192514
Condo/Co-op,2 Sinclair #203,Boston,MA,2134,575000,1,1,Allston,585,,2021,1,983,351,http://www.redfin.com/MA/Boston/2-Sinclair-Pl-02134/unit-203/home/176495411,72898655,42.353908,-71.1399501
Townhouse,180 Marlborough St #2,Boston,MA,2116,2395000,3,2.5,Back Bay,1970,1970,1890,1,1216,352,http://www.redfin.com/MA/Boston/180-Marlborough-St-02116/unit-2/home/9249321,72898653,42.3522976,-71.0798241
Condo/Co-op,60 Lithgow #3,Boston,MA,2124,599999,3,2,Dorchester's Dorchester Center,1300,,1905,1,462,149,http://www.redfin.com/MA/Dorchester-Center/60-Lithgow-St-02124/unit-3/home/176495316,72898650,42.2907089,-71.0679532
Condo/Co-op,2 Sinclair #201,Boston,MA,2134,735000,1,1,Allston,821,,2021,1,895,493,http://www.redfin.com/MA/Boston/2-Sinclair-Pl-02134/unit-201/home/176495314,72898645,42.353908,-71.1399501
Multi-Family (2-4 Unit),245 Chelsea St,Boston,MA,2128,2395000,11,6,East Boston,4798,2000,1900,1,499,,http://www.redfin.com/MA/Boston/245-Chelsea-St-02128/home/9118477,72898582,42.375803,-71.031536
Condo/Co-op,67 South St #4,Boston,MA,2130,725000,2,2,Jamaica Plain,968,,2016,1,749,261,http://www.redfin.com/MA/Jamaica-Plain/67-South-St-02130/unit-4/home/102228094,72898586,42.3074385,-71.1157234
Single Family Residential,11 Converse St,Boston,MA,2135,749999,3,1,Oak's Square,1019,4356,1905,1,736,,http://www.redfin.com/MA/Brighton/11-Converse-St-02135/home/9017514,72898560,42.3563328,-71.1559685
Townhouse,39A Bynner St #39,Boston,MA,2130,1195000,3,2.5,Jamaica Plain,2011,,2006,1,594,250,http://www.redfin.com/MA/Jamaica-Plain/39-Bynner-St-02130/unit-39/home/40295341,72898541,42.3235692,-71.1101732
Single Family Residential,39 Bynner St,Boston,MA,2130,1195000,3,2.5,Jamaica Plain,2011,2392,2006,1,594,,http://www.redfin.com/MA/Jamaica-Plain/39-Bynner-St-02130/home/18982506,72898540,42.3235779,-71.1101908
Condo/Co-op,156 Green St #203,Boston,MA,2130,549000,1,1,Jamaica Plain,800,800,2011,1,686,300,http://www.redfin.com/MA/Boston/156-Green-St-02130/unit-203/home/40185165,72898523,42.310466,-71.1065551
Condo/Co-op,63 Congreve St #2,Boston,MA,2131,515000,3,1,Roslindale,1087,1087,1920,1,474,175,http://www.redfin.com/MA/Roslindale/63-Congreve-St-02131/unit-2/home/11740691,72898519,42.2899559,-71.138794
Condo/Co-op,457 W Broadway #407,Boston,MA,2127,995000,2,2,South Boston,928,,2021,1,1072,466,http://www.redfin.com/MA/Boston/457-W-Broadway-02127/unit-407/home/176494360,72898508,42.3358413,-71.046484
Condo/Co-op,457 W Broadway #501,Boston,MA,2127,1100000,2,2,South Boston,968,,2021,1,1136,516,http://www.redfin.com/MA/Boston/457-W-Broadway-02127/unit-501/home/176494359,72898507,42.3358413,-71.046484
Condo/Co-op,457 W Broadway #411,Boston,MA,2127,779000,1,1,South Boston,707,,2021,1,1102,365,http://www.redfin.com/MA/Boston/457-W-Broadway-02127/unit-411/home/176494358,72898506,42.3358413,-71.046484
Condo/Co-op,9 Prospect St #1,Boston,MA,2129,1199000,2,2.5,Charlestown,1831,,2017,1,655,145,http://www.redfin.com/MA/Charlestown/9-Prospect-St-02129/unit-1/home/107248465,72898501,42.3751139,-71.0575071
Condo/Co-op,12 Sheafe #2,Boston,MA,2129,519000,1,1,Charlestown,594,,1899,1,874,130,http://www.redfin.com/MA/Charlestown/12-Sheafe-St-02129/unit-2/home/9048295,72898481,42.3806093,-71.0646491
Condo/Co-op,7 Cypress Rd #703,Boston,MA,2135,449000,2,1,Brighton,576,576,1900,1,780,244,http://www.redfin.com/MA/Brighton/7-Cypress-Rd-02135/unit-703/home/9016137,72898435,42.3544139,-71.1497022
Condo/Co-op,50 Sullivan St #2,Boston,MA,2129,619000,2,1,Charlestown,704,,1990,1,879,180,http://www.redfin.com/MA/Charlestown/50-Sullivan-St-02129/unit-2/home/9310275,72898426,42.3787951,-71.0656435
Condo/Co-op,2400 Beacon St #411,Boston,MA,2467,990000,1,1.5,Boston,1001,1001,2006,1,989,751,http://www.redfin.com/MA/Chestnut-Hill/2400-Beacon-St-02467/unit-411/home/12440236,72898422,42.3336022,-71.1530121
Condo/Co-op,20 Spalding St #2,Boston,MA,2130,665000,3,1,Jamaica Plain,1002,,1905,1,664,175,http://www.redfin.com/MA/Jamaica-Plain/20-Spalding-St-02130/unit-2/home/44645848,72898421,42.3037676,-71.113588
Single Family Residential,52 Soley St,Boston,MA,2129,1499000,3,2.5,Charlestown,1935,871,1890,1,775,,http://www.redfin.com/MA/Charlestown/52-Soley-St-02129/home/9062716,72898420,42.375137,-71.061153
Single Family Residential,21 Edge Hill St,Boston,MA,2130,799000,3,1.5,Jamaica Plain,1329,1746,1910,1,601,,http://www.redfin.com/MA/Jamaica-Plain/21-Edge-Hill-St-02130/home/9146917,72898380,42.3245207,-71.1069497
Townhouse,171 Marlborough St #1,Boston,MA,2116,1299000,1,1,Back Bay,1380,1380,1880,1,941,487,http://www.redfin.com/MA/Boston/171-Marlborough-St-02116/unit-1/home/9248388,72898338,42.352871,-71.0796061
Condo/Co-op,277 W Third #2,Boston,MA,2127,735000,2,2,South Boston,878,,1900,1,837,130,http://www.redfin.com/MA/Boston/277-W-3rd-St-02127/unit-2/home/40362262,72898336,42.3379328,-71.0476294
Single Family Residential,30 Beacon Street Cir,Milton,MA,2186,750000,3,2.5,Milton,2098,17163,1954,1,357,,http://www.redfin.com/MA/Milton/30-Beacon-St-Cir-02186/home/8903028,72898334,42.2581707,-71.1104313
Condo/Co-op,69 Parkton Rd #3,Boston,MA,2130,849000,3,2,Jamaica Plain,1367,1367,2004,1,621,300,http://www.redfin.com/MA/Jamaica-Plain/69-Parkton-Rd-02130/unit-3/home/11737856,72898327,42.3225612,-71.1150735
Condo/Co-op,4040 Washington St #3,Boston,MA,2131,639900,2,2.5,Roslindale,1705,1705,2006,1,375,652,http://www.redfin.com/MA/Boston/4040-Washington-St-02131/unit-3/home/21718202,72895689,42.2915635,-71.1224868
Condo/Co-op,790 Hyde Park #15,Boston,MA,2136,239900,1,1,Boston,604,,1965,1,397,344,http://www.redfin.com/MA/Boston/790-Hyde-Park-Ave-02136/unit-15/home/9122795,72898308,42.2728398,-71.119788
Single Family Residential,52 Bennett St,Boston,MA,2135,1090000,5,2,Brighton,2406,6510,1900,1,453,,http://www.redfin.com/MA/Brighton/52-Bennett-St-02135/home/9023510,72898304,42.3515696,-71.15569
Condo/Co-op,301 Berkeley Unit 2B,Boston,MA,2116,2375000,2,2,Back Bay,1500,,1923,1,1583,2812,http://www.redfin.com/MA/Boston/301-Berkeley-St-02116/unit-2B/home/11921751,72898302,42.354366,-71.0743368
Condo/Co-op,34 Deckard St #1,Boston,MA,2121,435000,3,2,Boston,1470,1560,1890,1,296,300,http://www.redfin.com/MA/Boston/34-Deckard-St-02121/unit-1/home/21717354,72898296,42.3157489,-71.0851307
Condo/Co-op,74 Manthorne Rd #0,Boston,MA,2132,799000,3,3,West Roxbury,2316,,1920,1,345,250,http://www.redfin.com/MA/West-Roxbury/72-74-Manthorne-Rd-02132/unit-0/home/113708114,72898285,42.289492,-71.151908
Condo/Co-op,8 Whittier Pl Unit 5E,Boston,MA,2114,725000,2,2,West End,1224,,1964,1,592,1040,http://www.redfin.com/MA/Boston/8-Whittier-Pl-02114/unit-5E/home/9228667,72898277,42.3654839,-71.06728
Condo/Co-op,1 dalton #3901,Boston,MA,2115,13900000,3,3.5,Back Bay,3209,,2019,1,4332,7079,http://www.redfin.com/MA/Boston/1-Dalton-St-02199/unit-3901/home/174436393,72898276,42.345,-71.084314
Single Family Residential,19 Forest Hills St,Boston,MA,2130,1100000,3,1,Jamaica Plain,1367,7804,1900,1,805,,http://www.redfin.com/MA/Jamaica-Plain/19-Forest-Hills-St-02130/home/9145647,72898243,42.3116193,-71.1016575
Condo/Co-op,67 Frankfort #301,Boston,MA,2128,369000,1,1,East Boston,484,,1930,1,762,199,http://www.redfin.com/MA/Boston/67-Frankfort-St-02128/unit-301/home/9107644,72898211,42.3705519,-71.0339883
Single Family Residential,84 Bonad Rd,Brookline,MA,2467,1499000,4,2.5,Brookline,2550,5001,1912,1,588,,http://www.redfin.com/MA/CHESTNUT-HILL/84-BONAD-RD-02467/home/11495654,72898191,42.29534,-71.151485
Single Family Residential,15 Montfern Ave,Revere,MA,2151,590000,5,1.5,Revere,2260,4556,1900,1,261,,http://www.redfin.com/MA/Revere/15-Montfern-Ave-02151/home/9006313,72898170,42.394326,-70.9899027
Multi-Family (2-4 Unit),5 Stillman St,Boston,MA,2113,2200000,7,4,North End,3536,904,1899,1,622,,http://www.redfin.com/MA/Boston/5-Stillman-St-02113/home/9278591,72898154,42.3637428,-71.0560562
Condo/Co-op,41 Farragut Rd #3,Boston,MA,2127,1199000,3,2,South Boston's City Point,1410,1410,1920,1,850,300,http://www.redfin.com/MA/Boston/41-Farragut-Rd-02127/unit-3/home/11738455,72898134,42.3368539,-71.0254289
Multi-Family (2-4 Unit),26 Tafthill Ter,Boston,MA,2131,899999,5,2.5,Roslindale,2248,5800,1920,1,400,,http://www.redfin.com/MA/Roslindale/26-Taft-Hill-Ter-02131/home/9169431,72898115,42.2879168,-71.1281176
Single Family Residential,20 Cedar St,Boston,MA,2126,449999,2,2,Boston,948,4810,1935,1,475,,http://www.redfin.com/MA/Mattapan/20-Cedar-St-02126/unit-20/home/21640347,72898109,42.2721113,-71.0752885
Condo/Co-op,1 Taylor St Unit A,Boston,MA,2118,650000,1,1,South End,550,,1899,1,1182,170,http://www.redfin.com/MA/Boston/1-Taylor-St-02118/unit-A/home/9280698,72898089,42.3440762,-71.0684516
Condo/Co-op,437 D St Ph 7C,Boston,MA,2210,2349000,2,2,Seaport District,2442,,1996,1,962,950,http://www.redfin.com/MA/Boston/437-D-St-02210/unit-7C/home/9185947,72898080,42.3451429,-71.0429517
Condo/Co-op,25 Phillips St Unit A,Boston,MA,2114,875000,2,1,Beacon Hill,969,969,1885,1,903,196,http://www.redfin.com/MA/Boston/25-Phillips-St-02114/unit-A/home/9258655,72898056,42.3604164,-71.0674889
Multi-Family (2-4 Unit),340 Baker St,Boston,MA,2132,659000,5,2,West Roxbury,2546,7297,1880,1,259,,http://www.redfin.com/MA/West-Roxbury/340-Baker-St-02132/home/9216712,72898047,42.2809038,-71.1684543
Condo/Co-op,2 Clarendon St #208,Boston,MA,2116,800000,1,1,South End,826,826,1988,1,969,832,http://www.redfin.com/MA/Boston/2-Clarendon-St-02116/unit-208/home/9232909,72898046,42.3442481,-71.0724798
Condo/Co-op,133 Seaport Blvd #1807,Boston,MA,2210,1175000,1,1,Seaport District,683,,2019,1,1720,893,http://www.redfin.com/MA/Boston/133-Seaport-Blvd-02210/unit-1807/home/174425860,72898041,42.3505253,-71.0436017
Townhouse,24-26 Mildred Ave #1,Boston,MA,2126,440000,3,2,Boston,1330,,2006,1,331,250,http://www.redfin.com/MA/Mattapan/24-Mildred-Ave-02126/unit-1/home/21717341,72897999,42.2765489,-71.0915941
Condo/Co-op,192 Dorchester St #2,Boston,MA,2127,1200000,3,2,South Boston,1792,,2016,1,670,,http://www.redfin.com/MA/Boston/192-Dorchester-St-02127/unit-2/home/101101096,72897961,42.3333775,-71.049579
Condo/Co-op,135 Seaport Blvd #1908,Boston,MA,2210,899000,1,1,Seaport District,567,,2020,1,1586,832,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-1908/home/174137330,72897956,42.3499499,-71.0435457
Single Family Residential,51 Sagamore St,Boston,MA,2125,989000,5,3,Dorchester's Savin Hill,2452,3212,1900,1,403,,http://www.redfin.com/MA/Dorchester/51-Sagamore-St-02125/home/11834661,72897953,42.3151292,-71.0543035
Condo/Co-op,135 Seaport Blvd #1218,Boston,MA,2210,842000,0,1,Seaport District,506,,2020,1,1664,703,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-1218/home/176488688,72897947,42.3499752,-71.0435321
Condo/Co-op,95-97 Rossmore Rd #1,Boston,MA,2130,550000,2,1,Jamaica Plain,1005,1005,1910,1,547,180,http://www.redfin.com/MA/Boston/95-Rossmore-Rd-02130/unit-1/home/9298702,72897941,42.3031682,-71.1052832
Single Family Residential,55 Wachusett St,Boston,MA,2136,375000,1,1,Mattapan,864,5852,1950,1,434,,http://www.redfin.com/MA/HYDE-PARK/55-WACHUSETT-ST-02136/home/9164524,72897943,42.261548,-71.101348
Condo/Co-op,281 Webster St #2,Boston,MA,2128,525000,2,1,East Boston's Jeffries Point,873,873,1900,1,601,235,http://www.redfin.com/MA/Boston/281-Webster-St-02128/unit-2/home/18977390,72897921,42.3646093,-71.0305806
Condo/Co-op,135 Seaport Blvd #2001,Boston,MA,2210,2425000,2,2.5,Seaport District,1314,,2020,1,1846,1860,http://www.redfin.com/MA/Boston/135-Seaport-Blvd-02210/unit-2001/home/173645221,72897914,42.3509604,-71.0439013
Condo/Co-op,18 Boynton St #2,Boston,MA,2130,549000,2,1,Jamaica Plain,858,,1905,1,640,265,http://www.redfin.com/MA/Jamaica-Plain/18-Boynton-St-02130/unit-2/home/18982912,72897913,42.3055379,-71.1137273
