PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),MLS,LATITUDE,LONGITUDE
Condo/Co-op,485 Ashmont St #1,Boston,MA,2122,725000,2,2.5,Dorchester's Ashmont,1469,,2021,6,494,250,http://www.redfin.com/MA/Dorchester/485-Ashmont-St-02122/unit-1/home/176155251,72895858,42.2885534,-71.053375
Condo/Co-op,2 Avery St Unit 23C,Boston,MA,2111,3685000,3,3.5,Boston,2707,2707,2000,7,1361,3995,http://www.redfin.com/MA/Boston/2-Avery-St-02111/unit-23C/home/9312895,72895844,42.3528703,-71.0629976
Condo/Co-op,17 Van Winkle St #1,Boston,MA,2124,549000,3,1,Dorchester's Ashmont,995,,1905,7,552,175,http://www.redfin.com/MA/Boston/17-Van-Winkle-St-02124/unit-1/home/176392191,72895832,42.2821794,-71.0641462
Condo/Co-op,11 Walley St #305,Boston,MA,2128,749000,3,2,East Boston,1131,,2020,7,662,511,http://www.redfin.com/MA/Boston/11-Walley-St-02128/unit-305/home/176390367,72895814,42.3897025,-70.9986434
Multi-Family (2-4 Unit),77 Copeland St,Boston,MA,2119,850000,6,2,Boston,2281,2921,1900,7,373,,http://www.redfin.com/MA/Boston/77-Copeland-St-02119/home/145254862,72895809,42.3233609,-71.0789615
Single Family Residential,1 Copeland Pl,Boston,MA,2119,799900,5,3,Boston,2054,3396,1900,7,389,,http://www.redfin.com/MA/Boston/1-Copeland-Pl-02119/home/9291506,72895811,42.3232713,-71.0789393
Condo/Co-op,375 Pond #1,Brookline,MA,2445,874900,3,1.5,Brookline,1189,,1898,7,736,365,http://www.redfin.com/MA/Brookline/375-Pond-Ave-02445/unit-1/home/11479969,72895801,42.3233864,-71.1194835
Condo/Co-op,1971-1977 Dorchester Ave #5013,Boston,MA,2124,515000,2,1,Dorchester's Ashmont,831,,2015,7,620,429,http://www.redfin.com/MA/Boston/1971-Dorchester-Ave-02124/unit-5013/home/145362051,72895798,42.2832571,-71.0652258
Condo/Co-op,114 W Concord St #1,Boston,MA,2118,2200000,3,3,South End,2602,2602,1900,7,846,628,http://www.redfin.com/MA/Boston/114-W-Concord-St-02118/unit-1/home/9316952,72895781,42.3391666,-71.0766737
Condo/Co-op,141 W Concord St #1,Boston,MA,2118,1380000,2,2,South End,1156,1140,1875,7,1194,304,http://www.redfin.com/MA/Boston/141-W-Concord-St-02118/unit-1/home/9311163,72895762,42.3398851,-71.0770321
Condo/Co-op,402 Marlborough St Unit 1A,Boston,MA,2115,1149000,1,2,Back Bay,1152,1152,1899,7,997,343,http://www.redfin.com/MA/Boston/402-Marlborough-St-02115/unit-1A/home/176388629,72895754,42.3500919,-71.0882957
Condo/Co-op,40 Baxter St #8,Boston,MA,2127,699000,2,2,South Boston,930,930,2000,7,752,200,http://www.redfin.com/MA/Boston/40-Baxter-St-02127/unit-8/home/9309245,72895737,42.3361813,-71.0544893
Multi-Family (2-4 Unit),23 Alpine St,Boston,MA,2119,1299000,6,7,Roxbury's Fort Hill,3675,7320,1905,7,353,,http://www.redfin.com/MA/Boston/23-Alpine-St-02119/home/11837243,72895725,42.3260342,-71.0868484
Condo/Co-op,1 Boylston Pl #2,Boston,MA,2130,499999,2,1,Jamaica Plain,894,,1905,7,559,186,http://www.redfin.com/MA/Jamaica-Plain/1-Boylston-Pl-02130/unit-2/home/176387643,72895726,42.3161007,-71.1024467
Condo/Co-op,1 Boylston Pl #1,Boston,MA,2130,499999,2,1,Jamaica Plain,911,,1905,7,549,186,http://www.redfin.com/MA/Jamaica-Plain/1-Boylston-Pl-02130/unit-1/home/176387641,72895722,42.3161007,-71.1024467
Condo/Co-op,605 Massachusetts Ave #9,Boston,MA,2118,430000,1,1,South End,415,,1900,7,1036,293,http://www.redfin.com/MA/Boston/605-Massachusetts-Ave-02118/unit-9/home/9287418,72895705,42.3370978,-71.0781205
Condo/Co-op,243 Condor St #5,Boston,MA,2128,889500,2,2,East Boston,1397,,2020,7,637,287,http://www.redfin.com/MA/Boston/243-Condor-St-02128/unit-5/home/172279471,72895693,42.3824362,-71.0315531
Condo/Co-op,165 Tremont St #501,Boston,MA,2111,2499000,3,2.5,Theatre District,2053,2053,2003,7,1217,1725,http://www.redfin.com/MA/Boston/165-Tremont-St-02111/unit-501/home/9329301,72895680,42.3539386,-71.0636819
Condo/Co-op,111 Hutchings St #1,Boston,MA,2121,609900,2,2.5,Roxbury's Franklin Park,1182,,1906,7,516,225,http://www.redfin.com/MA/Boston/111-Hutchings-St-02121/unit-1/home/176386371,72895679,42.311778,-71.0919086
Condo/Co-op,251 Minot St #4,Boston,MA,2124,829000,2,2,Dorchester,1303,,2021,7,636,250,http://www.redfin.com/MA/Boston/251-Minot-St-02124/unit-4/home/175989149,72895678,42.2837345,-71.0580178
Condo/Co-op,65 E India Row Unit 32-G,Boston,MA,2110,975000,1,1.5,Waterfront,1206,,1972,7,808,1337,http://www.redfin.com/MA/Boston/65-E-India-Row-02110/unit-32G/home/9261085,72895662,42.3576699,-71.0504859
Condo/Co-op,85 E India Row Unit 31H,Boston,MA,2110,900000,1,1,Waterfront,882,882,1972,7,1020,1026,http://www.redfin.com/MA/Boston/85-E-India-Row-02110/unit-31H/home/9261787,72895661,42.3581217,-71.0498232
Condo/Co-op,115 Cottage St #3,Boston,MA,2128,679000,2,2,East Boston's Jeffries Point,810,,1930,7,838,235,http://www.redfin.com/MA/Boston/115-Cottage-St-02128/unit-3/home/169043097,72895653,42.3685231,-71.0343428
Condo/Co-op,14-1/2 Mount Vernon St #3,Boston,MA,2129,995000,2,2,Charlestown,1108,,1875,7,898,287,http://www.redfin.com/MA/Boston/14-1-2-Mt-Vernon-St-02129/unit-3/home/9314995,72895651,42.3756397,-71.058719
Condo/Co-op,197 Eighth St #722,Boston,MA,2129,999000,2,2,Charlestown's Navy Yard,1135,,1989,7,880,725,http://www.redfin.com/MA/Boston/197-8th-St-02129/unit-722/home/9050355,72895649,42.3734076,-71.0521911
Condo/Co-op,6 Hatch St #2,Boston,MA,2127,849000,2,2,South Boston,1097,,2017,7,774,193,http://www.redfin.com/MA/Boston/6-Hatch-St-02127/unit-2/home/109319226,72895628,42.3311617,-71.0358161
Single Family Residential,4 Linden St,Boston,MA,2127,1674000,4,2.5,South Boston,2043,2613,1890,7,819,,http://www.redfin.com/MA/Boston/4-Linden-St-02127/home/9191536,72895610,42.3343925,-71.0451107
Condo/Co-op,164 Beacon St #3,Boston,MA,2116,749000,1,1,Back Bay,791,791,1850,7,947,442,http://www.redfin.com/MA/Boston/164-Beacon-St-02116/unit-3/home/9251786,72895605,42.3547533,-71.0761816
Condo/Co-op,421 Main St #3,Boston,MA,2129,725000,2,1.5,Charlestown,900,,1899,7,806,130,http://www.redfin.com/MA/Boston/421-Main-St-02129/unit-3/home/9318605,72895601,42.3810999,-71.0704122
Condo/Co-op,232 Summit Ave Unit A1,Brookline,MA,2446,965000,2,2,Brookline,1102,,1900,7,876,507,http://www.redfin.com/MA/Brookline/232-Summit-Ave-02446/unit-A1/home/11453242,72895585,42.3430281,-71.1363571
Single Family Residential,23 Gray St,Boston,MA,2116,2499000,4,2.5,South End,2016,713,1890,7,1240,,http://www.redfin.com/MA/Boston/23-Gray-St-02116/home/9262607,72895578,42.345724,-71.0712843
Condo/Co-op,10 Holyoke St #1,Boston,MA,2116,2749000,3,2.5,South End,2725,,1900,7,1009,500,http://www.redfin.com/MA/Boston/10-Holyoke-St-02116/unit-1/home/9314704,72895552,42.3444686,-71.0777955
